[2025-11-06 10:30:30] IP: 192.168.184.14 | Lat: 26.4500324, Lon: 80.194655 | Acc: ±300 m
[2025-11-06 10:56:13] IP: 192.168.153.162 | Lat: 26.4524447, Lon: 80.1959135 | Acc: ±77.5999984741211 m
[2025-11-06 11:16:23] IP: 192.168.109.221 | Lat: 26.452344, Lon: 80.1959519 | Acc: ±118.63300323486328 m
[2025-11-06 11:22:27] IP: 192.168.71.31 | Lat: 26.4522906, Lon: 80.1959913 | Acc: ±181.3249969482422 m
[2025-11-06 14:31:01] IP: 192.168.46.235 | Lat: 26.4526782, Lon: 80.195536 | Acc: ±118.38099670410156 m
[2025-11-06 14:43:34] IP: 192.168.198.46 | Lat: 26.4526823, Lon: 80.1954917 | Acc: ±115.92900085449219 m
[2025-11-06 15:34:23] IP: 192.168.156.74 | Lat: 26.4526744, Lon: 80.1954944 | Acc: ±250.3179931640625 m
[2025-11-06 15:40:38] IP: 192.168.64.248 | Lat: 26.4527058, Lon: 80.1953338 | Acc: ±100 m
[2025-11-06 15:45:54] IP: 192.168.203.25 | Lat: 26.4527058, Lon: 80.1953338 | Acc: ±100 m
[2025-11-06 15:50:35] IP: 192.168.136.149 | Lat: 26.4527058, Lon: 80.1953338 | Acc: ±100 m
[2025-11-06 16:07:02] IP: 192.168.198.27 | Lat: 26.4500324, Lon: 80.194655 | Acc: ±300 m
[2025-11-06 16:09:49] IP: 192.168.93.4 | Lat: 26.4527893, Lon: 80.195279 | Acc: ±100 m
[2025-11-06 16:12:06] IP: 192.168.155.249 | Lat: 26.4527038, Lon: 80.1952873 | Acc: ±100 m
[2025-11-06 17:25:04] IP: 192.168.117.176 | Lat: 26.4526823, Lon: 80.1954917 | Acc: ±475.6830139160156 m
[2025-11-06 17:28:35] IP: 192.168.86.173 | Lat: 26.4516607, Lon: 80.1970958 | Acc: ±100 m
[2025-11-06 17:30:45] IP: 192.168.116.156 | Lat: 26.4527234, Lon: 80.195308 | Acc: ±100 m
[2025-11-06 17:33:39] IP: 192.168.123.103 | Lat: 26.4527234, Lon: 80.195308 | Acc: ±100 m
[2025-11-07 03:19:36] IP: 192.168.19.230 | Lat: 26.4520542, Lon: 80.1922141 | Acc: ±100 m
[2025-11-08 08:11:36] IP: 192.168.149.191 | Lat: 26.4526831, Lon: 80.1954912 | Acc: ±148.99899291992188 m
[2025-11-09 13:12:19] IP: 192.168.5.15 | Lat: 26.4519536, Lon: 80.1960497 | Acc: ±200 m
[2025-11-09 14:30:50] IP: 192.168.159.61 | Lat: 26.4504383, Lon: 80.1953403 | Acc: ±300 m
